,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
1201,1,28,183.0,88.0,6.0,78.0,39.4
2727,1,70,176.0,85.0,25.0,99.0,40.7
7399,1,34,181.0,80.0,18.0,101.0,40.3
7795,0,58,171.0,73.0,15.0,97.0,40.0
14740,0,68,168.0,66.0,26.0,102.0,41.1
36,0,70,154.0,59.0,10.0,88.0,40.0
12944,0,79,163.0,65.0,30.0,113.0,41.1
4750,1,37,189.0,92.0,16.0,98.0,40.4
6740,0,22,171.0,65.0,13.0,93.0,40.3
14665,0,25,167.0,60.0,5.0,88.0,39.0
6933,0,20,171.0,60.0,27.0,105.0,40.6
5183,0,23,158.0,55.0,20.0,105.0,40.2
10465,0,29,150.0,54.0,21.0,101.0,40.3
8969,1,38,190.0,96.0,1.0,76.0,37.4
12631,0,27,180.0,72.0,6.0,87.0,39.2
11661,1,52,171.0,81.0,17.0,102.0,40.6
8459,0,70,162.0,63.0,27.0,98.0,41.0
3090,0,48,197.0,89.0,18.0,102.0,40.3
12232,0,32,157.0,53.0,10.0,92.0,40.0
1288,1,30,199.0,99.0,16.0,103.0,40.3
3031,1,27,191.0,90.0,18.0,107.0,40.6
14656,1,30,170.0,76.0,19.0,101.0,40.5
2977,0,47,173.0,67.0,2.0,86.0,38.1
2400,0,76,167.0,65.0,26.0,102.0,40.9
14011,0,35,160.0,57.0,26.0,109.0,40.7
14509,0,40,172.0,66.0,20.0,98.0,40.7
13926,1,68,198.0,111.0,29.0,110.0,40.5
9924,0,47,147.0,44.0,20.0,91.0,40.5
1746,0,70,179.0,80.0,22.0,105.0,40.5
4125,1,40,183.0,90.0,5.0,80.0,39.0
7172,0,64,157.0,54.0,16.0,95.0,40.5
9922,0,33,178.0,76.0,3.0,76.0,38.5
4315,0,37,156.0,62.0,12.0,87.0,39.9
8118,1,56,185.0,91.0,23.0,102.0,40.5
11571,1,65,190.0,94.0,26.0,102.0,40.9
5981,0,50,167.0,62.0,10.0,86.0,39.6
11487,0,41,164.0,63.0,11.0,87.0,40.2
11908,1,79,172.0,77.0,24.0,107.0,40.7
4549,1,54,189.0,90.0,24.0,103.0,40.2
2507,1,59,190.0,93.0,22.0,93.0,40.7
3375,0,63,172.0,70.0,3.0,85.0,38.6
8310,1,30,206.0,106.0,6.0,92.0,39.2
7092,1,21,181.0,79.0,11.0,90.0,39.9
210,1,65,204.0,103.0,14.0,93.0,40.1
13162,0,37,163.0,58.0,9.0,82.0,39.7
1950,1,33,186.0,83.0,24.0,116.0,40.3
4393,0,30,164.0,61.0,4.0,86.0,39.0
651,1,46,201.0,96.0,25.0,108.0,40.3
2206,0,66,155.0,62.0,19.0,99.0,40.5
4475,0,23,157.0,54.0,30.0,112.0,40.9
2615,1,24,170.0,72.0,9.0,77.0,39.7
1396,1,43,171.0,76.0,14.0,95.0,40.2
11051,0,45,166.0,61.0,30.0,113.0,41.0
5909,1,30,193.0,89.0,27.0,94.0,40.6
3942,0,71,154.0,61.0,25.0,111.0,40.6
1670,0,27,170.0,66.0,9.0,94.0,39.8
2320,1,62,177.0,82.0,21.0,102.0,40.7
9509,0,31,169.0,66.0,26.0,112.0,40.4
14343,1,39,179.0,79.0,18.0,97.0,40.0
1952,0,22,163.0,59.0,16.0,104.0,40.1
7630,1,63,171.0,75.0,22.0,107.0,40.6
14562,0,37,171.0,75.0,7.0,88.0,39.3
2937,0,33,163.0,63.0,22.0,101.0,40.7
10857,1,29,179.0,80.0,28.0,108.0,41.0
11807,0,54,165.0,62.0,12.0,97.0,39.8
11035,1,49,179.0,86.0,18.0,100.0,40.6
14224,1,38,189.0,93.0,13.0,90.0,39.8
10146,1,28,191.0,93.0,19.0,93.0,40.6
484,1,26,180.0,81.0,7.0,92.0,39.5
11100,1,72,197.0,98.0,19.0,91.0,40.3
898,1,76,177.0,84.0,7.0,84.0,39.1
1732,0,34,160.0,63.0,29.0,119.0,41.3
13956,0,56,150.0,54.0,5.0,94.0,39.2
2613,1,43,183.0,88.0,12.0,95.0,40.0
6387,0,35,174.0,67.0,25.0,105.0,40.6
8778,0,59,161.0,57.0,28.0,110.0,40.5
6076,0,74,140.0,46.0,5.0,87.0,39.3
14551,1,33,165.0,72.0,5.0,82.0,39.1
4684,0,37,154.0,55.0,6.0,92.0,39.1
2640,0,49,173.0,66.0,4.0,81.0,38.9
1250,1,30,185.0,88.0,30.0,110.0,40.9
12697,0,38,147.0,49.0,20.0,99.0,40.6
11078,0,46,167.0,70.0,22.0,106.0,40.5
2435,0,40,180.0,76.0,4.0,80.0,38.7
4954,1,45,192.0,95.0,17.0,94.0,40.3
9787,0,48,147.0,48.0,13.0,106.0,40.3
14915,0,72,181.0,76.0,29.0,112.0,40.8
13357,1,73,186.0,89.0,5.0,85.0,39.1
4751,1,24,184.0,79.0,24.0,102.0,40.6
8552,0,59,173.0,68.0,29.0,111.0,41.0
13958,0,71,171.0,70.0,10.0,96.0,39.3
2303,0,62,172.0,75.0,9.0,87.0,39.3
5532,0,24,151.0,50.0,28.0,101.0,40.7
11944,1,64,184.0,92.0,18.0,102.0,40.4
12525,0,34,186.0,78.0,8.0,81.0,39.5
582,0,23,171.0,65.0,27.0,105.0,40.4
7372,1,76,195.0,95.0,5.0,82.0,39.2
9811,0,65,153.0,52.0,9.0,81.0,39.4
718,0,53,172.0,71.0,8.0,89.0,39.7
12334,1,20,180.0,79.0,7.0,83.0,39.3
11066,1,27,172.0,71.0,29.0,109.0,40.6
762,0,63,150.0,50.0,7.0,88.0,39.4
3468,0,73,154.0,57.0,10.0,90.0,39.9
1870,0,54,154.0,58.0,7.0,82.0,39.4
12574,1,34,204.0,104.0,21.0,104.0,40.6
6072,1,60,188.0,91.0,28.0,104.0,41.2
6808,1,38,203.0,107.0,7.0,98.0,39.4
6836,0,32,162.0,60.0,21.0,102.0,40.6
738,1,35,186.0,92.0,24.0,99.0,40.9
9754,0,31,159.0,56.0,25.0,104.0,40.5
12380,0,40,165.0,64.0,2.0,79.0,38.3
12534,0,40,164.0,59.0,18.0,109.0,40.3
7508,1,45,177.0,85.0,7.0,89.0,39.5
7503,1,71,191.0,91.0,12.0,87.0,39.8
11503,0,20,169.0,61.0,28.0,102.0,41.0
13613,1,54,180.0,87.0,13.0,100.0,40.0
14301,1,68,179.0,88.0,19.0,97.0,41.0
4024,1,38,172.0,78.0,20.0,94.0,40.5
14359,1,47,194.0,91.0,13.0,82.0,40.0
8303,0,55,165.0,67.0,11.0,97.0,40.1
750,1,21,173.0,78.0,28.0,108.0,40.7
10330,0,60,183.0,82.0,10.0,92.0,39.2
12940,1,24,181.0,75.0,20.0,101.0,41.0
8077,1,62,155.0,61.0,14.0,90.0,40.2
4554,0,23,146.0,45.0,18.0,96.0,40.2
1839,1,44,184.0,89.0,14.0,96.0,40.2
5399,0,28,152.0,54.0,8.0,84.0,39.7
13542,1,35,181.0,76.0,9.0,85.0,39.4
1275,1,71,193.0,97.0,8.0,88.0,39.4
6650,0,47,173.0,69.0,26.0,106.0,40.8
10114,0,42,172.0,70.0,11.0,104.0,39.9
4459,0,28,162.0,61.0,12.0,92.0,39.9
14267,0,21,166.0,60.0,17.0,96.0,40.0
9545,0,54,172.0,70.0,28.0,101.0,41.0
10556,1,34,183.0,81.0,3.0,84.0,38.5
10657,1,20,181.0,77.0,18.0,94.0,40.2
10569,1,49,183.0,84.0,9.0,84.0,39.7
2264,0,46,162.0,68.0,5.0,92.0,38.8
8294,0,54,177.0,75.0,10.0,91.0,39.7
1536,0,50,174.0,76.0,25.0,104.0,40.6
4296,1,64,177.0,81.0,7.0,85.0,39.8
6779,1,20,192.0,88.0,22.0,107.0,40.7
6061,1,73,190.0,98.0,12.0,91.0,39.8
1369,0,61,159.0,59.0,10.0,82.0,39.9
740,0,45,156.0,57.0,27.0,104.0,40.6
6800,1,52,194.0,92.0,15.0,100.0,40.2
3857,0,57,170.0,69.0,20.0,96.0,40.2
1188,1,24,192.0,86.0,27.0,106.0,40.5
13452,0,48,147.0,54.0,14.0,101.0,40.1
9601,1,47,191.0,89.0,9.0,88.0,39.8
1570,0,43,169.0,66.0,5.0,91.0,39.1
9632,1,26,174.0,79.0,1.0,74.0,37.7
10107,1,77,184.0,87.0,6.0,80.0,39.2
2527,1,20,194.0,97.0,20.0,96.0,40.4
2127,1,25,179.0,76.0,30.0,105.0,40.8
10073,0,58,159.0,65.0,4.0,77.0,38.8
2764,1,67,181.0,85.0,2.0,76.0,37.9
9188,0,76,173.0,68.0,11.0,101.0,39.9
11418,0,57,157.0,57.0,14.0,89.0,39.9
12638,0,52,149.0,54.0,9.0,85.0,39.5
9392,1,62,175.0,79.0,12.0,96.0,39.9
6018,0,29,178.0,78.0,24.0,94.0,40.4
10035,1,33,183.0,88.0,9.0,89.0,39.7
1981,1,37,172.0,77.0,22.0,105.0,40.5
13626,0,39,161.0,64.0,9.0,81.0,39.6
4094,0,42,180.0,78.0,6.0,79.0,39.3
10919,1,37,181.0,88.0,22.0,97.0,40.8
13778,1,34,164.0,63.0,8.0,93.0,39.5
14318,0,53,174.0,69.0,10.0,93.0,39.8
2057,1,33,193.0,91.0,13.0,89.0,40.3
4536,0,71,165.0,60.0,12.0,93.0,40.1
4685,1,47,173.0,79.0,28.0,111.0,40.5
12855,1,38,179.0,84.0,23.0,102.0,40.8
4004,0,32,142.0,48.0,5.0,79.0,38.9
11696,1,21,191.0,86.0,16.0,103.0,40.1
14743,0,29,169.0,70.0,16.0,99.0,40.2
14377,1,46,200.0,107.0,22.0,102.0,40.6
10323,0,30,178.0,77.0,13.0,94.0,40.2
9913,1,75,188.0,93.0,18.0,94.0,40.2
3434,0,21,169.0,64.0,12.0,90.0,39.9
9269,1,26,193.0,94.0,11.0,90.0,40.1
9825,0,29,164.0,60.0,23.0,101.0,40.9
6302,0,77,182.0,84.0,4.0,88.0,38.7
1710,0,24,171.0,64.0,13.0,89.0,39.8
14252,0,54,157.0,61.0,30.0,108.0,40.5
6286,0,55,159.0,59.0,7.0,86.0,39.1
13048,0,77,173.0,76.0,22.0,102.0,40.6
562,1,34,194.0,96.0,19.0,101.0,40.5
10786,1,37,197.0,100.0,4.0,87.0,38.9
7907,1,22,181.0,85.0,28.0,112.0,40.4
640,0,47,173.0,74.0,10.0,97.0,39.8
1669,0,25,185.0,79.0,27.0,90.0,40.7
3000,1,68,188.0,90.0,10.0,85.0,40.1
7307,0,29,168.0,61.0,14.0,87.0,40.4
13482,0,21,169.0,63.0,5.0,89.0,38.7
14514,0,40,153.0,57.0,8.0,89.0,39.8
2407,1,23,191.0,88.0,10.0,91.0,39.7
12566,1,27,195.0,90.0,9.0,92.0,39.9
8064,0,26,163.0,61.0,17.0,97.0,40.2
7796,1,27,188.0,87.0,14.0,100.0,40.2
13386,0,62,171.0,66.0,23.0,103.0,40.4
5936,1,26,175.0,74.0,29.0,107.0,41.1
14982,1,22,177.0,74.0,21.0,97.0,40.5
2910,1,22,173.0,74.0,20.0,98.0,40.4
4081,0,28,160.0,65.0,24.0,104.0,40.6
9948,0,62,154.0,59.0,16.0,107.0,40.2
12103,0,20,155.0,53.0,15.0,92.0,40.0
4743,0,23,170.0,63.0,15.0,99.0,40.3
14512,0,42,161.0,60.0,23.0,106.0,40.9
5123,0,30,170.0,64.0,11.0,87.0,39.7
2928,1,72,164.0,72.0,9.0,83.0,40.1
3166,0,61,171.0,72.0,6.0,80.0,39.2
4304,0,57,175.0,74.0,15.0,94.0,40.4
7760,0,21,181.0,74.0,18.0,104.0,40.5
180,0,78,153.0,54.0,13.0,84.0,40.3
5070,0,32,159.0,60.0,25.0,107.0,40.9
12464,0,32,174.0,63.0,7.0,83.0,39.5
4553,1,36,190.0,92.0,19.0,98.0,40.6
2218,0,20,149.0,52.0,16.0,91.0,40.4
12317,0,63,148.0,46.0,9.0,90.0,39.5
1955,0,43,166.0,66.0,12.0,89.0,40.1
1057,1,30,178.0,84.0,8.0,80.0,39.5
9056,1,36,187.0,91.0,7.0,78.0,39.5
9706,1,26,187.0,89.0,22.0,103.0,40.7
5556,1,56,178.0,76.0,7.0,87.0,39.4
4436,1,57,209.0,120.0,26.0,105.0,41.0
1399,1,60,173.0,73.0,22.0,108.0,40.8
12849,1,36,182.0,80.0,15.0,94.0,40.1
9642,1,20,169.0,69.0,2.0,83.0,38.4
10529,1,25,188.0,82.0,6.0,94.0,39.3
4990,0,20,171.0,71.0,3.0,79.0,38.5
12047,1,49,196.0,94.0,24.0,98.0,41.1
10127,1,25,171.0,71.0,6.0,91.0,39.0
2234,1,69,200.0,98.0,17.0,96.0,39.9
5144,1,53,191.0,95.0,4.0,92.0,38.5
14021,0,41,148.0,54.0,16.0,101.0,40.5
12038,1,65,175.0,76.0,6.0,94.0,39.2
1210,0,20,175.0,69.0,22.0,98.0,40.5
3669,1,28,178.0,78.0,14.0,90.0,40.1
10436,1,76,187.0,92.0,22.0,104.0,40.6
2238,0,20,143.0,48.0,27.0,107.0,40.6
13115,0,40,170.0,73.0,25.0,105.0,40.5
10741,0,38,159.0,59.0,2.0,81.0,38.1
2948,0,48,168.0,73.0,28.0,99.0,40.6
11766,0,30,164.0,64.0,11.0,92.0,39.6
8387,1,75,191.0,93.0,24.0,103.0,40.6
13880,1,29,191.0,86.0,15.0,85.0,40.2
6216,0,61,166.0,66.0,28.0,106.0,41.0
12118,0,47,161.0,58.0,11.0,99.0,40.1
7250,1,33,176.0,80.0,28.0,107.0,40.8
6690,1,23,189.0,85.0,21.0,103.0,40.6
14126,0,69,157.0,58.0,8.0,91.0,39.6
5292,1,69,189.0,92.0,6.0,90.0,39.1
14141,0,33,168.0,63.0,5.0,81.0,38.8
1434,1,76,172.0,74.0,10.0,94.0,40.1
14981,1,29,188.0,89.0,19.0,95.0,40.8
92,0,31,174.0,67.0,9.0,93.0,39.5
11384,0,23,198.0,82.0,17.0,100.0,40.4
11226,0,33,169.0,70.0,24.0,98.0,40.7
11126,1,45,185.0,87.0,24.0,107.0,40.8
10991,0,21,158.0,59.0,7.0,85.0,39.5
3469,1,36,176.0,83.0,26.0,101.0,40.8
13316,1,63,188.0,95.0,24.0,105.0,40.6
6444,0,39,162.0,60.0,27.0,109.0,40.9
4861,1,33,191.0,90.0,21.0,105.0,40.5
7459,0,20,147.0,47.0,5.0,91.0,39.1
14197,1,79,199.0,106.0,28.0,104.0,41.2
7436,0,33,183.0,77.0,16.0,91.0,40.4
10278,1,41,189.0,94.0,17.0,97.0,40.3
6594,1,57,183.0,89.0,14.0,95.0,40.2
10050,0,76,148.0,52.0,19.0,96.0,40.5
3449,0,66,159.0,61.0,27.0,106.0,41.2
9355,0,59,182.0,84.0,16.0,94.0,40.0
1084,1,55,193.0,98.0,24.0,112.0,40.8
8748,0,34,178.0,79.0,19.0,96.0,40.6
2777,1,76,190.0,95.0,22.0,104.0,40.4
11433,0,51,156.0,63.0,9.0,92.0,40.1
428,1,75,199.0,103.0,28.0,123.0,40.5
5013,0,21,146.0,49.0,8.0,90.0,39.5
12453,0,28,170.0,70.0,30.0,117.0,40.9
12405,0,26,151.0,52.0,22.0,98.0,40.2
13805,0,70,168.0,72.0,16.0,88.0,39.9
10846,0,39,162.0,67.0,4.0,83.0,39.1
13827,0,29,164.0,60.0,19.0,96.0,40.5
2698,1,72,178.0,79.0,19.0,108.0,40.1
11558,1,50,180.0,88.0,14.0,88.0,40.2
10074,1,42,184.0,89.0,24.0,105.0,40.5
11299,1,39,171.0,77.0,16.0,103.0,40.4
408,0,34,179.0,74.0,25.0,101.0,40.9
7520,0,63,161.0,57.0,11.0,89.0,40.1
13296,1,34,195.0,101.0,13.0,88.0,39.6
1608,1,37,168.0,68.0,25.0,97.0,41.1
10431,1,30,190.0,88.0,17.0,98.0,40.6
14917,0,65,156.0,54.0,18.0,96.0,40.2
4455,0,78,159.0,59.0,8.0,88.0,39.8
7663,0,44,159.0,64.0,12.0,97.0,39.8
11431,0,62,152.0,54.0,24.0,108.0,40.9
12441,1,42,180.0,84.0,1.0,87.0,37.8
9213,0,48,176.0,74.0,1.0,81.0,37.8
3941,1,71,174.0,78.0,15.0,105.0,40.0
426,1,43,201.0,104.0,28.0,103.0,40.7
949,0,31,160.0,60.0,12.0,95.0,40.2
10087,0,69,171.0,66.0,3.0,69.0,38.8
7319,0,52,181.0,73.0,4.0,78.0,39.0
2865,1,48,195.0,97.0,3.0,81.0,38.7
9016,1,20,189.0,91.0,10.0,93.0,40.1
14707,1,49,196.0,100.0,22.0,99.0,40.6
4156,1,23,189.0,91.0,23.0,107.0,40.8
8060,1,20,172.0,72.0,16.0,102.0,40.0
14198,1,39,188.0,88.0,2.0,90.0,38.0
6545,0,47,164.0,60.0,5.0,86.0,39.1
5908,1,46,182.0,89.0,15.0,98.0,40.6
7103,1,50,179.0,79.0,12.0,99.0,39.8
7844,0,36,161.0,58.0,17.0,90.0,40.2
1691,0,33,167.0,65.0,16.0,92.0,40.1
12834,1,35,179.0,83.0,16.0,93.0,40.3
12402,0,46,163.0,62.0,12.0,96.0,40.1
1421,0,26,167.0,68.0,28.0,104.0,40.9
6244,0,70,170.0,66.0,15.0,100.0,40.3
4216,0,28,159.0,60.0,12.0,91.0,39.9
819,1,58,198.0,96.0,12.0,92.0,39.7
4614,1,35,200.0,98.0,5.0,93.0,39.4
4162,1,54,186.0,82.0,2.0,83.0,38.3
7438,0,39,168.0,64.0,6.0,80.0,39.5
3422,1,26,191.0,96.0,8.0,92.0,39.7
14677,1,52,193.0,96.0,29.0,108.0,40.9
14430,0,38,177.0,78.0,4.0,79.0,38.9
11496,0,26,170.0,63.0,11.0,91.0,40.1
4257,1,43,190.0,96.0,11.0,98.0,39.7
9891,0,68,173.0,68.0,13.0,91.0,39.9
409,1,48,185.0,88.0,15.0,103.0,40.0
1285,1,35,202.0,105.0,5.0,81.0,39.3
4814,1,61,186.0,89.0,27.0,101.0,40.8
11631,1,75,190.0,96.0,28.0,102.0,41.0
6798,1,33,196.0,96.0,29.0,113.0,40.6
4355,1,38,171.0,72.0,30.0,111.0,40.9
13383,0,56,143.0,49.0,27.0,106.0,40.8
1091,0,22,157.0,59.0,27.0,113.0,40.9
7998,1,23,189.0,87.0,16.0,99.0,40.4
73,0,22,179.0,67.0,8.0,77.0,39.5
11600,0,25,173.0,69.0,29.0,117.0,41.0
3585,0,73,165.0,66.0,10.0,92.0,40.0
4238,0,62,160.0,59.0,5.0,82.0,39.1
11218,0,68,181.0,73.0,3.0,89.0,38.9
6706,0,66,163.0,60.0,29.0,100.0,40.8
5751,0,79,157.0,60.0,17.0,98.0,40.7
291,1,47,179.0,79.0,6.0,74.0,39.3
6084,0,59,149.0,54.0,26.0,104.0,40.8
13233,1,28,193.0,96.0,11.0,85.0,40.1
8278,1,29,190.0,93.0,11.0,92.0,39.7
11409,1,66,182.0,86.0,9.0,91.0,39.5
13824,0,52,145.0,48.0,7.0,80.0,39.5
2089,1,52,187.0,95.0,10.0,89.0,39.8
7873,1,33,188.0,91.0,29.0,113.0,40.8
1801,0,54,179.0,72.0,28.0,110.0,40.9
13752,0,68,175.0,69.0,8.0,97.0,40.1
11821,1,73,191.0,99.0,26.0,104.0,41.1
1576,1,25,204.0,98.0,22.0,108.0,40.4
1110,1,44,165.0,70.0,5.0,97.0,39.2
318,0,37,166.0,61.0,25.0,103.0,40.7
9985,1,24,209.0,110.0,8.0,80.0,40.0
4038,0,29,167.0,67.0,10.0,90.0,40.2
13590,0,26,159.0,55.0,26.0,104.0,41.0
6194,0,33,151.0,56.0,16.0,101.0,40.0
1825,0,26,163.0,62.0,15.0,97.0,40.2
3146,0,32,176.0,67.0,7.0,93.0,39.5
5081,1,23,182.0,87.0,3.0,83.0,38.6
6832,0,27,170.0,63.0,10.0,92.0,39.7
3411,0,33,166.0,65.0,4.0,84.0,38.6
144,1,20,188.0,84.0,27.0,104.0,41.0
8994,1,22,188.0,90.0,20.0,96.0,40.5
4561,0,42,160.0,58.0,17.0,91.0,40.5
7732,1,53,188.0,88.0,16.0,96.0,40.5
3975,1,76,177.0,83.0,14.0,101.0,40.3
9113,0,64,169.0,71.0,19.0,100.0,40.5
7923,1,60,181.0,87.0,28.0,106.0,41.0
13753,1,62,194.0,101.0,17.0,100.0,40.2
8613,1,28,207.0,103.0,10.0,96.0,40.1
4870,1,60,173.0,82.0,24.0,104.0,40.2
13582,1,27,194.0,90.0,2.0,81.0,37.8
11799,1,48,182.0,88.0,15.0,97.0,40.3
8256,0,37,151.0,51.0,30.0,115.0,40.9
7163,1,32,176.0,80.0,25.0,99.0,40.8
1830,0,20,170.0,59.0,6.0,83.0,39.3
11975,0,30,153.0,53.0,25.0,114.0,40.7
85,1,44,189.0,88.0,13.0,94.0,40.0
14171,1,51,175.0,79.0,22.0,107.0,40.7
1219,1,32,177.0,83.0,30.0,105.0,41.1
7416,0,48,155.0,59.0,13.0,91.0,40.1
14866,1,31,174.0,72.0,18.0,99.0,40.3
9458,0,43,161.0,63.0,11.0,90.0,40.0
3724,0,43,167.0,63.0,9.0,94.0,39.6
5689,1,42,190.0,98.0,24.0,107.0,40.7
10308,0,25,157.0,58.0,29.0,104.0,40.8
10959,0,68,156.0,55.0,12.0,94.0,40.0
6598,0,22,170.0,64.0,13.0,99.0,40.3
13822,1,32,189.0,86.0,20.0,95.0,40.5
8807,1,22,190.0,94.0,26.0,108.0,40.6
594,1,68,186.0,98.0,28.0,105.0,41.1
4638,0,77,183.0,76.0,2.0,81.0,38.3
9176,0,55,183.0,82.0,27.0,109.0,40.7
8272,0,24,157.0,56.0,11.0,95.0,40.0
3519,0,60,173.0,71.0,14.0,93.0,40.1
7660,1,31,186.0,89.0,10.0,97.0,39.8
8629,1,26,185.0,85.0,15.0,93.0,40.2
14543,0,77,154.0,61.0,8.0,88.0,39.4
14381,0,27,160.0,57.0,23.0,112.0,40.7
5987,1,36,176.0,82.0,29.0,112.0,40.9
61,0,77,177.0,80.0,16.0,98.0,40.6
5723,0,26,166.0,60.0,20.0,103.0,40.6
8158,1,20,192.0,94.0,20.0,103.0,40.6
5152,0,69,160.0,68.0,22.0,101.0,40.5
10683,0,53,158.0,55.0,6.0,83.0,39.7
5090,0,40,138.0,42.0,3.0,82.0,38.3
4489,0,24,166.0,64.0,25.0,106.0,40.8
5620,0,78,168.0,70.0,26.0,111.0,40.5
11856,0,29,171.0,65.0,24.0,99.0,40.5
12378,0,46,171.0,65.0,5.0,95.0,39.1
13010,1,79,192.0,98.0,7.0,79.0,39.3
4866,1,66,199.0,100.0,17.0,98.0,40.5
13124,1,59,187.0,95.0,3.0,82.0,38.2
14886,1,55,175.0,81.0,20.0,106.0,40.9
6749,0,27,166.0,58.0,15.0,101.0,40.1
7044,1,29,174.0,73.0,20.0,107.0,40.7
11403,0,32,161.0,61.0,3.0,78.0,38.6
5493,1,27,184.0,79.0,21.0,99.0,40.6
3958,0,32,166.0,66.0,14.0,89.0,39.9
958,0,34,135.0,41.0,14.0,92.0,40.2
472,0,53,175.0,75.0,13.0,90.0,40.2
5960,1,23,182.0,82.0,23.0,109.0,40.7
1513,0,57,172.0,70.0,13.0,84.0,40.2
2290,0,60,161.0,63.0,3.0,89.0,38.3
12624,0,49,158.0,58.0,23.0,99.0,40.8
5967,1,69,183.0,91.0,21.0,92.0,40.3
